target_id,ligand_id,label,CDK2_1AQ1_reference,CDK2_1HCL_aligned,CDK2_1JVP_aligned,CDK2_1Y8Y_aligned,CDK2_2C68_aligned,CDK2_2C69_aligned,CDK2_3RKB_aligned,CDK2_AF2_MD2NS_C00_F001,CDK2_AF2_MD2NS_C01_F005,CDK2_AF2_MD2NS_C02_F031,CDK2_AF2_MD2NS_C03_F041,CDK2_AF2_MD2NS_C04_F066,CDK2_AF2_MD2NS_C05_F074,CDK2_AF2_MD2NS_C06_F077,CDK2_AF2_MD2NS_C07_F095,CDK2_AF_P24941_F1_v6
CDK2,CDK2_A0001,active,-8.179,-8.003,-8.446,-7.673,-7.645,-7.688,-8.821,-7.822,-6.836,-7.911,-7.437,-7.198,-7.601,-7.357,-7.504,-7.584
CDK2,CDK2_A0004,active,-8.526,-7.937,-7.718,-7.732,-6.939,-7.097,-8.914,-7.941,-7.014,-8.299,-7.209,-8.255,-7.374,-5.966,-7.06,-7.752
CDK2,CDK2_A0005,active,-8.636,-7.781,-8.955,-7.753,-6.954,-7.002,-8.92,-7.726,-8.234,-7.786,-8.173,-6.918,-7.452,-7.493,-8.003,-8.39
CDK2,CDK2_A0006,active,-7.968,-7.595,-8.419,-7.404,-7.028,-7.567,-8.021,-7.65,-7.916,-7.842,-7.473,-6.976,-7.724,-7.705,-8.302,-7.844
CDK2,CDK2_A0007,active,-9.787,-8.435,-10.14,-9.399,-7.207,-7.473,-10.02,-8.964,-8.955,-8.979,-8.331,-7.783,-7.552,-8.927,-8.522,-9.171
CDK2,CDK2_A0008,active,-7.796,-6.888,-7.372,-7.02,-6.866,-6.613,-7.258,-6.764,-6.833,-6.692,-6.406,-6.312,-6.438,-6.747,-7.353,-6.777
CDK2,CDK2_A0010,active,-9.591,-8.101,-9.848,-9.294,-7.38,-7.41,-9.463,-8.529,-8.257,-8.557,-8.025,-7.355,-8.168,-7.93,-8.254,-8.965
CDK2,CDK2_A0011,active,-7.94,-7.529,-8.164,-7.573,-6.746,-6.819,-7.893,-7.925,-7.352,-7.387,-7.617,-6.629,-7.415,-7.532,-7.202,-7.653
CDK2,CDK2_A0012,active,-9.129,-8.019,-9.735,-8.608,-8.868,-8.464,-9.28,-9.312,-8.993,-8.074,-9.061,-7.722,-8.192,-8.672,-8.747,-8.724
CDK2,CDK2_A0013,active,-7.612,-7.596,-8.3,-7.404,-7.552,-6.897,-7.825,-7.485,-7.419,-6.637,-7.393,-6.546,-7.064,-7.054,-7.641,-7.899
