ligand_id,label,selection_role,EGFR_9KL4_aligned,EGFR_7KXZ_aligned,EGFR_9FRD_aligned,EGFR_4I23_aligned,EGFR_3W2S_aligned,EGFR_5CAV_aligned,EGFR_3W32_aligned,EGFR_8F1Z_aligned,EGFR_3POZ_aligned,EGFR_7U9A_aligned,EGFR_3W33_aligned,EGFR_9QXN_aligned
EGFR_active_L000008,active,development_train,-8.831,-9.083,-9.709,-8.992,-9.036,-8.448,-9.761,-9.344,-9.496,-8.654,-9.367,-9.687
EGFR_active_L000486,active,development_train,-9.532,-9.786,-10.083,-8.633,-8.745,-8.423,-10.48,-9.14,-9.169,-8.593,-10.067,-9.854
EGFR_active_L000102,active,development_train,-7.917,-8.051,-8.61,-7.899,-8.416,-7.375,-8.977,-8.607,-8.706,-7.631,-9.202,-8.66
EGFR_active_L000352,active,development_train,-8.569,-9.026,-9.89,-7.717,-9.616,-8.339,-9.717,-9.455,-9.731,-8.231,-9.631,-9.853
EGFR_active_L000438,active,development_train,-8.639,-8.944,-9.03,-8.413,-8.992,-8.271,-9.181,-9.592,-9.094,-8.789,-9.267,-9.301
EGFR_active_L000475,active,development_train,-9.071,-9.362,-9.889,-8.986,-10.051,-8.051,-10.901,-9.835,-10.447,-9.067,-10.828,-9.776
EGFR_active_L000113,active,development_train,-8.332,-8.795,-9.157,-7.756,-9.812,-7.899,-9.553,-9.31,-9.673,-8.476,-10.09,-9.742
EGFR_active_L000402,active,development_train,-8.108,-7.514,-8.88,-8.252,-8.835,-8.188,-8.276,-8.449,-8.252,-8.053,-9.144,-8.309
EGFR_active_L000354,active,development_train,-9.803,-9.468,-9.861,-9.622,-10.499,-8.292,-11.371,-9.936,-10.952,-9.256,-11.337,-9.79
EGFR_active_L000170,active,development_train,-9.175,-9.492,-9.716,-8.895,-8.772,-8.714,-9.62,-9.512,-9.208,-8.732,-9.728,-9.387
EGFR_active_L000433,active,development_train,-8.757,-9.38,-9.758,-8.618,-9.807,-7.907,-10.34,-10.041,-10.467,-8.201,-10.404,-9.892
EGFR_active_L000457,active,development_train,-8.247,-8.841,-8.677,-8.946,-8.957,-8.317,-9.43,-9.033,-9.075,-8.364,-8.966,-8.864
EGFR_active_L000295,active,development_train,-8.348,-9.172,-10.11,-7.79,-9.409,-8.083,-9.703,-9.668,-9.451,-8.139,-9.684,-9.795
EGFR_active_L000169,active,development_train,-8.959,-9.434,-10.268,-8.776,-10.064,-8.482,-10.006,-10.053,-9.693,-8.702,-9.995,-10.441
EGFR_active_L000005,active,development_train,-8.491,-8.574,-8.898,-7.68,-9.65,-7.723,-10.274,-9.205,-10.044,-8.297,-9.953,-9.057
EGFR_active_L000276,active,development_train,-8.192,-8.511,-9.056,-7.752,-8.803,-7.37,-9.48,-8.663,-9.254,-7.956,-9.592,-9.329
EGFR_active_L000230,active,development_train,-9.156,-9.356,-9.654,-8.132,-10.265,-8.479,-10.737,-9.484,-10.11,-8.233,-10.468,-9.53
EGFR_active_L000091,active,development_train,-9.266,-9.087,-10.26,-8.1,-9.321,-7.705,-9.089,-10.44,-8.768,-8.586,-8.617,-10.303
EGFR_active_L000522,active,development_train,-9.825,-9.384,-10.615,-9.674,-10.94,-8.605,-11.474,-11.071,-11.573,-9.406,-11.276,-10.399
EGFR_active_L000189,active,development_train,-8.063,-8.563,-9.155,-8.129,-8.868,-7.839,-8.849,-9.167,-8.374,-8.115,-8.527,-9.219
EGFR_active_L000047,active,development_train,-8.601,-8.764,-9.292,-8.295,-8.939,-8.146,-8.783,-9.272,-8.866,-8.078,-9.114,-9.356
EGFR_active_L000196,active,development_train,-8.505,-8.604,-8.345,-8.199,-8.467,-7.21,-9.372,-8.69,-8.902,-7.756,-8.974,-8.581
EGFR_active_L000118,active,development_train,-9.403,-8.865,-8.741,-8.454,-9.011,-8.884,-9.479,-9.288,-8.997,-8.578,-8.944,-9.137
EGFR_active_L000043,active,development_train,-8.949,-9.141,-10.129,-9.179,-9.101,-8.023,-9.2,-10.17,-9.402,-8.599,-8.952,-10.167
EGFR_active_L000148,active,development_train,-8.468,-8.621,-9.625,-7.523,-9.566,-7.834,-10.466,-10.194,-9.934,-8.035,-10.358,-9.854
EGFR_active_L000236,active,development_train,-9.439,-9.484,-10.141,-9.197,-10.145,-8.138,-10.937,-10.094,-11.009,-8.721,-11.49,-10.129
EGFR_active_L000056,active,development_train,-7.984,-8.196,-8.728,-7.903,-8.664,-7.48,-8.632,-8.749,-8.677,-6.939,-8.654,-8.611
EGFR_active_L000512,active,development_train,-8.502,-8.701,-9.972,-9.189,-9.535,-8.199,-10.114,-9.607,-10.174,-9.078,-10.363,-10.273
EGFR_active_L000297,active,development_train,-8.7,-8.491,-9.185,-7.7,-8.253,-7.66,-8.943,-8.707,-8.505,-7.689,-8.996,-9.045
EGFR_active_L000333,active,development_train,-6.687,-6.916,-8.11,-7.001,-7.691,-7.047,-7.659,-7.881,-7.785,-7.038,-8.067,-8.177
EGFR_active_L000469,active,development_train,-9.447,-9.155,-10.206,-8.691,-9.403,-8.391,-9.55,-10.497,-9.538,-8.707,-9.566,-10.253
EGFR_active_L000319,active,development_train,-8.199,-8.023,-8.556,-7.321,-7.27,-7.269,-7.91,-8.816,-8.011,-6.802,-7.88,-8.844
EGFR_active_L000325,active,development_train,-9.356,-9.55,-9.556,-8.58,-9.104,-8.371,-10.035,-9.375,-9.685,-8.572,-10.446,-9.528
EGFR_active_L000073,active,development_train,-10.778,-10.967,-12.254,-10.285,-11.825,-9.564,-13.009,-11.882,-12.38,-10.92,-12.777,-12.091
EGFR_active_L000127,active,development_train,-9.557,-9.28,-10.032,-9.077,-10.602,-9.006,-11.496,-10.227,-11.364,-9.039,-11.87,-10.205
EGFR_active_L000489,active,development_train,-8.245,-8.859,-8.84,-8.459,-9.853,-7.708,-9.648,-9.178,-9.709,-7.538,-9.685,-8.464
EGFR_active_L000391,active,development_train,-7.092,-7.823,-8.511,-7.244,-8.077,-7.006,-7.601,-8.541,-8.156,-7.425,-7.412,-8.612
EGFR_active_L000313,active,development_train,-8.751,-8.677,-9.21,-8.505,-9.204,-7.748,-9.266,-9.497,-9.123,-8.376,-9.182,-9.465
EGFR_active_L000081,active,development_train,-7.921,-8.223,-8.502,-7.379,-8.807,-7.317,-8.859,-9.036,-8.706,-8.109,-8.751,-8.264
EGFR_active_L000481,active,development_train,-9.484,-8.761,-10.473,-8.371,-9.461,-8.839,-10.116,-10.067,-9.861,-9.271,-10.032,-10.5
EGFR_active_L000060,active,development_train,-8.832,-8.782,-9.715,-8.247,-10.109,-8.317,-10.464,-9.594,-10.279,-8.213,-10.37,-9.664
EGFR_active_L000157,active,development_train,-8.385,-8.785,-9.6,-8.691,-9.339,-8.634,-10.038,-9.542,-9.775,-8.59,-9.835,-9.723
EGFR_active_L000490,active,development_train,-10.069,-10.434,-11.231,-9.817,-11.713,-8.89,-11.456,-11.531,-11.938,-10.423,-11.993,-11.765
