ligand_id,label,selection_role,FA10_3KL6_reference,FA10_1LPK_aligned,FA10_1KSN_aligned,FA10_2WYJ_aligned,FA10_2PHB_aligned,FA10_1EZQ_aligned,FA10_5K0H_aligned,FA10_4A7I_aligned,FA10_2W3K_aligned,FA10_1NFU_aligned,FA10_1F0R_aligned,FA10_2Y81_aligned,FA10_1LPZ_aligned
FA10_active_L000254,active,development_train,-10.114,-8.699,-9.775,-11.568,-10.887,-10.544,-10.326,-8.542,-10.734,-10.257,-9.69,-11.789,-9.612
FA10_active_L000319,active,development_train,-8.182,-7.505,-7.99,-7.93,-8.153,-7.919,-8.13,-7.092,-7.924,-7.759,-8.216,-7.717,-7.394
FA10_active_L000034,active,development_train,-11.352,-10.45,-11.96,-11.272,-11.834,-11.81,-12.222,-9.352,-11.251,-11.453,-10.909,-11.4,-11.321
FA10_active_L000463,active,development_train,-11.338,-11.277,-12.584,-11.443,-12.497,-12.738,-12.521,-10.104,-11.787,-11.998,-11.668,-11.866,-11.588
FA10_active_L000494,active,development_train,-9.521,-9.048,-9.057,-9.273,-9.234,-9.281,-9.153,-9.166,-9.437,-9.017,-9.361,-9.41,-9.126
FA10_active_L000255,active,development_train,-9.252,-9.597,-10.022,-10.069,-10.209,-10.26,-9.728,-9.789,-9.939,-9.674,-9.934,-10.128,-9.726
FA10_active_L000042,active,development_train,-9.051,-9.014,-8.162,-8.647,-8.883,-8.206,-8.863,-8.615,-8.899,-9.202,-8.137,-8.974,-9.428
FA10_active_L000418,active,development_train,-9.295,-9.471,-9.586,-9.185,-9.737,-9.163,-9.853,-9.3,-9.622,-9.538,-9.719,-9.201,-9.613
FA10_active_L000001,active,development_train,-10.619,-10.169,-10.303,-10.164,-11.132,-10.438,-10.485,-9.637,-11.354,-9.66,-9.305,-10.437,-9.749
FA10_active_L000294,active,development_train,-11.507,-10.13,-10.565,-10.572,-11.341,-9.908,-10.93,-9.619,-10.946,-10.929,-10.049,-11.075,-10.076
FA10_active_L000456,active,development_train,-9.794,-9.031,-9.374,-9.543,-9.837,-10.07,-10.148,-8.429,-9.9,-9.788,-9.434,-9.875,-9.63
FA10_active_L000444,active,development_train,-7.129,-7.616,-7.234,-7.752,-7.653,-7.356,-7.161,-7.739,-7.259,-7.377,-7.224,-7.491,-7.858
FA10_active_L000450,active,development_train,-8.802,-8.433,-8.803,-8.04,-9.031,-8.831,-8.381,-8.5,-8.605,-8.713,-8.607,-8.478,-8.081
FA10_active_L000347,active,development_train,-8.745,-8.839,-8.998,-9.914,-8.967,-9.272,-8.705,-8.996,-8.716,-9.475,-9.004,-9.578,-8.922
FA10_active_L000309,active,development_train,-9.378,-9.163,-10.233,-9.745,-10.035,-10.204,-10.03,-9.478,-9.225,-9.58,-10.222,-10.085,-9.287
FA10_active_L000136,active,development_train,-9.328,-8.803,-9.439,-10.162,-10.951,-9.558,-9.061,-8.507,-9.835,-10.14,-9.425,-10.702,-10.303
FA10_active_L000503,active,development_train,-11.249,-10.741,-10.872,-10.897,-12.712,-10.847,-11.934,-9.877,-12.149,-10.572,-10.658,-11.401,-10.618
FA10_active_L000126,active,development_train,-10.284,-10.702,-9.788,-9.776,-10.927,-9.556,-10.522,-10.018,-10.672,-9.899,-9.37,-10.202,-10.795
FA10_active_L000118,active,development_train,-11.948,-10.77,-11.303,-10.925,-12.563,-11.307,-11.812,-10.047,-12.799,-10.694,-10.919,-11.411,-10.5
FA10_active_L000174,active,development_train,-7.591,-8.001,-7.078,-8.173,-8.857,-7.18,-8.45,-8.097,-7.282,-7.303,-7.219,-7.944,-7.999
FA10_active_L000160,active,development_train,-8.856,-9.825,-8.853,-10.122,-10.428,-8.744,-8.913,-8.358,-8.371,-9.059,-8.64,-10.428,-9.503
FA10_active_L000376,active,development_train,-9.365,-9.452,-8.999,-10.383,-10.899,-8.156,-10.048,-8.289,-10.82,-9.355,-8.968,-10.229,-9.412
FA10_active_L000380,active,development_train,-9.391,-8.43,-8.768,-8.956,-8.794,-8.456,-8.805,-8.945,-9.092,-8.771,-8.917,-9.192,-8.738
FA10_active_L000142,active,development_train,-9.803,-10.134,-10.99,-10.287,-11.243,-10.189,-11.052,-9.678,-9.635,-10.502,-10.457,-10.259,-10.206
FA10_active_L000152,active,development_train,-10.604,-10.581,-11.135,-10.332,-10.425,-10.648,-10.946,-9.58,-9.632,-10.786,-9.996,-10.814,-10.964
FA10_active_L000519,active,development_train,-9.244,-9.551,-9.679,-9.447,-10.113,-9.628,-9.516,-9.921,-9.909,-9.081,-9.321,-9.5,-9.676
FA10_active_L000311,active,development_train,-9.478,-8.015,-8.869,-8.169,-8.937,-7.854,-8.931,-8.07,-8.202,-8.797,-8.459,-9.011,-8.081
FA10_active_L000200,active,development_train,-9.263,-9.154,-10.341,-10.009,-10.174,-10.038,-9.799,-8.275,-9.643,-9.79,-9.735,-9.755,-9.796
FA10_active_L000257,active,development_train,-10.367,-10.578,-9.651,-9.714,-9.634,-9.602,-9.936,-10.203,-9.82,-10.083,-9.623,-10.021,-10.392
FA10_active_L000134,active,development_train,-9.796,-8.461,-8.536,-9.419,-9.071,-8.023,-9.678,-8.28,-9.086,-8.546,-9.261,-9.047,-8.74
FA10_active_L000140,active,development_train,-10.814,-10.185,-10.25,-10.329,-11.783,-10.885,-11.131,-9.961,-11.643,-10.187,-10.057,-10.737,-10.409
FA10_active_L000186,active,development_train,-11.013,-9.814,-10.089,-11.067,-10.725,-10.402,-10.762,-9.535,-10.791,-10.806,-10.883,-10.576,-10.369
FA10_active_L000232,active,development_train,-9.079,-8.26,-8.849,-8.379,-8.365,-8.643,-8.808,-8.587,-8.76,-8.755,-8.553,-8.592,-8.097
FA10_active_L000482,active,development_train,-8.069,-7.573,-7.983,-8.014,-8.102,-7.81,-8.119,-8.376,-8.108,-7.765,-8.21,-7.705,-8.021
FA10_active_L000185,active,development_train,-10.33,-9.453,-8.48,-9.748,-9.757,-8.735,-10.115,-9.833,-9.165,-8.84,-9.513,-9.951,-10.048
FA10_active_L000502,active,development_train,-8.88,-8.918,-8.649,-9.187,-9.643,-8.617,-7.82,-9.18,-9.458,-8.695,-8.365,-9.52,-9.094
FA10_active_L000096,active,development_train,-11.469,-11.055,-10.961,-10.42,-12.12,-10.866,-11.244,-9.875,-11.842,-10.633,-10.019,-11.313,-11.131
FA10_active_L000079,active,development_train,-10.013,-9.677,-10.203,-9.425,-10.324,-9.616,-10.344,-8.731,-10.219,-9.761,-9.071,-10.114,-9.515
FA10_active_L000508,active,development_train,-9.001,-8.241,-9.481,-9.656,-9.703,-9.255,-8.907,-8.07,-8.867,-9.2,-9.181,-9.216,-9.056
FA10_active_L000537,active,development_train,-9.313,-9.121,-9.103,-9.592,-9.915,-9.765,-10.095,-8.759,-9.522,-9.471,-8.854,-9.851,-9.946
FA10_active_L000492,active,development_train,-9.048,-9.521,-9.925,-10.321,-9.585,-9.234,-9.733,-9.137,-9.688,-9.353,-9.285,-10.133,-9.351
FA10_active_L000088,active,development_train,-10.864,-10.173,-11.272,-11.11,-11.634,-10.012,-11.326,-9.986,-11.563,-10.578,-11.124,-11.368,-11.087
FA10_active_L000012,active,development_train,-7.952,-8.732,-8.007,-9.441,-7.797,-7.71,-8.008,-7.45,-8.1,-8.024,-8.277,-9.026,-8.784
FA10_active_L000236,active,development_train,-9.23,-9.12,-8.983,-9.041,-9.325,-9.124,-9.307,-8.727,-9.323,-9.492,-8.885,-9.028,-9.351
FA10_active_L000332,active,development_train,-9.846,-8.487,-10.339,-9.992,-9.673,-9.407,-10.106,-9.203,-9.852,-9.786,-9.723,-10.544,-9.126
FA10_active_L000281,active,development_train,-10.973,-10.933,-11.478,-10.565,-11.527,-11.028,-11.135,-10.969,-11.551,-11.458,-10.951,-10.961,-10.847
FA10_active_L000164,active,development_train,-8.55,-7.531,-9.13,-9.338,-8.642,-8.343,-8.844,-7.446,-8.06,-9.086,-8.81,-9.652,-8.939
FA10_active_L000014,active,development_train,-9.47,-8.738,-9.844,-9.665,-9.503,-9.517,-9.186,-9.013,-9.056,-9.002,-9.46,-9.425,-8.705
FA10_active_L000003,active,development_train,-10.888,-9.877,-9.664,-10.525,-11.34,-9.196,-10.934,-10.4,-11.322,-10.844,-9.187,-11.052,-9.555
FA10_active_L000391,active,development_train,-9.723,-7.72,-9.479,-9.713,-9.982,-9.331,-9.473,-7.846,-8.9,-10.239,-9.932,-9.995,-8.349
FA10_active_L000426,active,development_train,-9.107,-8.037,-8.808,-8.976,-8.671,-8.617,-8.55,-7.66,-8.497,-8.471,-9.202,-9.133,-8.276
FA10_active_L000044,active,development_train,-8.725,-9.29,-9.138,-9.647,-9.498,-8.853,-9.504,-8.247,-8.876,-9.077,-9.173,-9.985,-10.038
FA10_active_L000228,active,development_train,-8.256,-7.779,-8.986,-8.584,-9.314,-9.133,-9.117,-8.997,-8.84,-9.219,-9.542,-8.563,-8.191
FA10_active_L000485,active,development_train,-8.895,-8.645,-8.861,-8.99,-9.028,-9.123,-8.589,-9.579,-8.554,-9.299,-9.081,-8.9,-8.573
FA10_active_L000030,active,development_train,-9.76,-9.966,-8.3,-9.201,-9.143,-8.362,-9.183,-9.471,-8.677,-9.331,-8.09,-9.758,-9.818
FA10_active_L000039,active,development_train,-9.952,-10.41,-8.383,-9.362,-10.116,-9.458,-9.953,-9.562,-9.921,-9.615,-8.779,-10.17,-10.258
FA10_active_L000137,active,development_train,-8.882,-9.006,-8.494,-8.476,-9.118,-8.468,-9.406,-8.648,-8.829,-8.924,-8.925,-8.781,-8.731
FA10_active_L000264,active,development_train,-9.705,-8.896,-9.652,-9.512,-9.222,-8.622,-9.54,-8.055,-9.003,-10.108,-10.08,-9.391,-10.061
FA10_active_L000469,active,development_train,-11.165,-9.591,-11.475,-11.003,-10.986,-11.19,-11.59,-8.576,-11.122,-11.157,-10.635,-11.207,-9.428
FA10_active_L000405,active,development_train,-8.778,-8.154,-7.847,-9.301,-9.366,-8.048,-8.819,-9.089,-8.942,-8.755,-8.12,-9.134,-8.323
FA10_active_L000094,active,development_train,-9.02,-8.708,-8.915,-9.754,-9.682,-9.262,-9.548,-9.531,-9.058,-9.158,-9.178,-9.866,-8.677
FA10_active_L000353,active,development_train,-10.312,-9.088,-10.215,-10.196,-10.9,-9.402,-10.842,-9.08,-10.586,-10.279,-9.019,-10.649,-9.561
FA10_active_L000211,active,development_train,-12.079,-11.412,-11.878,-11.826,-13.105,-11.822,-12.235,-10.325,-13.034,-11.338,-11.282,-12.225,-11.793
FA10_active_L000428,active,development_train,-10.44,-9.67,-8.789,-10.717,-11.111,-9.205,-9.811,-9.372,-10.232,-10.346,-9.293,-10.589,-9.728
FA10_active_L000368,active,development_train,-9.933,-9.478,-9.705,-10.101,-10.295,-9.696,-9.815,-10.197,-10.247,-9.582,-9.848,-9.678,-9.488
FA10_active_L000223,active,development_train,-10.894,-10.247,-10.548,-10.077,-11.528,-10.465,-10.998,-10.021,-11.503,-10.092,-10.438,-10.671,-10.551
FA10_active_L000369,active,development_train,-9.59,-9.467,-9.893,-10.118,-10.142,-9.12,-9.578,-8.305,-9.299,-10.099,-9.335,-10.487,-9.831
FA10_active_L000270,active,development_train,-10.587,-9.447,-10.853,-10.18,-10.962,-10.675,-10.38,-10.109,-10.995,-10.622,-10.46,-10.237,-9.604
FA10_active_L000187,active,development_train,-9.765,-10.244,-9.42,-11.327,-11.432,-10.082,-10.731,-8.459,-10.999,-11.001,-9.743,-11.434,-10.632
FA10_active_L000314,active,development_train,-9.328,-9.591,-9.996,-9.15,-9.402,-9.619,-9.67,-9.384,-9.572,-9.799,-9.464,-9.289,-9.569
