target_id,phi,b_star,width_locked,best_single_train_pr_auc,best_pair_train_pr_auc,pair_gain_train_pr_auc,receptor_diversity_spearman,receptor_count,ligand_count,scaffold_count,mean_scaffold_size,train_activity_rate,best_gain_first_budget,best_gain_first_budget_policy,best_gain_max_budget,best_gain_max_budget_policy
BACE1,mean,600,False,0.6089024849519268,0.6169901588748805,0.008087673922953887,0.7174976440650997,15.0,600.0,358.0,1.675977653631285,0.2,0.06528363767427722,s4_scaffold25,0.013875856627324679,s4_scaffold25
BACE1,min,600,False,0.6089024849519268,0.6243304136592092,0.015427928707282535,0.7174976440650997,15.0,600.0,358.0,1.675977653631285,0.2,0.05156273117773556,s4_scaffold25,0.043813191503293714,s4_scaffold25
CDK2,mean,600,False,0.7642836159804489,0.7814898643708699,0.017206248390421036,0.6352890245897275,16.0,160.0,160.0,1.0,0.5,0.05289273547871387,s5_score_oracle,0.05485916726477694,s2_uniform
CDK2,min,600,False,0.7642836159804489,0.776943518131922,0.012659902151473057,0.6352890245897275,16.0,160.0,160.0,1.0,0.5,0.04194465187887761,s5_score_oracle,0.04194465187887761,s2_uniform
EGFR,mean,600,False,0.31536427775107423,0.3188406157539182,0.0034763380028439593,0.783819048974944,12.0,600.0,437.0,1.3729977116704806,0.2,0.04865241156184086,s4_scaffold25,0.007680465186301005,s4_scaffold25
EGFR,min,600,False,0.31536427775107423,0.31450137113076027,-0.0008629066203139857,0.783819048974944,12.0,600.0,437.0,1.3729977116704806,0.2,0.03828186965105128,s4_scaffold25,0.014576162855593877,s4_scaffold25
ESR1,mean,600,False,0.6826788687136666,0.6812379692171454,-0.001440899496521064,0.44953952445388534,15.0,600.0,379.0,1.5831134564643798,0.2,0.0455014750764583,s4_scaffold25,-0.042520792378100435,s4_scaffold25
ESR1,min,600,False,0.6826788687136666,0.6869667529728906,0.004287884259224039,0.44953952445388534,15.0,600.0,379.0,1.5831134564643798,0.2,0.04888968460815668,s4_scaffold25,0.030411631244351554,s4_scaffold25
FA10,mean,600,False,0.5459711524974757,0.5549192525686734,0.008948100071197762,0.8372436951888629,13.0,600.0,330.0,1.818181818181818,0.2,0.0708792680043592,s4_scaffold25,0.04606771216585917,s4_scaffold25
FA10,min,600,False,0.5459711524974757,0.5627684330555136,0.01679728055803794,0.8372436951888629,13.0,600.0,330.0,1.818181818181818,0.2,0.06936002204347717,s4_scaffold25,0.03502737474978119,s4_scaffold25
MK14,mean,600,False,0.518578740012362,0.5812246446065599,0.0626459045941978,0.6045040633854976,15.0,600.0,414.0,1.4492753623188406,0.2,0.07674339611510297,s4_scaffold50,0.06291880203409922,s2_uniform
MK14,min,600,False,0.518578740012362,0.5502467986243685,0.031668058612006375,0.6045040633854976,15.0,600.0,414.0,1.4492753623188406,0.2,0.07515483614099948,s4_scaffold50,0.0972563129035112,s4_scaffold50
MK14_min,mean,600,False,0.5201562968901449,0.5751476321492868,0.05499133525914192,0.6172888727657877,15.0,600.0,414.0,1.4492753623188406,0.2,0.07294762251206664,s4_scaffold50,0.05153453232429267,s2_uniform
MK14_min,min,600,False,0.5201562968901449,0.5476507641578825,0.027494467267737556,0.6172888727657877,15.0,600.0,414.0,1.4492753623188406,0.2,0.07035011439174692,s5_score_oracle,0.09151692495326699,s4_scaffold50
PPARA,mean,600,False,0.6028413591587449,0.6321567899421786,0.02931543078343375,0.7463660803476773,15.0,600.0,246.0,2.4390243902439024,0.2,0.13918715008227586,s4_scaffold50,0.11244708030573773,s4_scaffold25
PPARA,min,600,False,0.6028413591587449,0.5966425942730252,-0.006198764885719643,0.7463660803476773,15.0,600.0,246.0,2.4390243902439024,0.2,0.10978757930395407,s4_scaffold50,0.08537518533511285,s4_scaffold25
PPARA_pool30,mean,600,False,0.6834955570185748,0.7216173628170841,0.038121805798509344,0.7019985854924253,30.0,600.0,246.0,2.4390243902439024,0.2,0.04335317847349973,s4_scaffold25,0.028764798171235395,s2_uniform
PPARA_pool30,min,600,False,0.6834955570185748,0.6823777962706234,-0.0011177607479512907,0.7019985854924253,30.0,600.0,246.0,2.4390243902439024,0.2,0.0042662112112477725,s4_scaffold25,-0.023681183625008605,s4_scaffold25
PPARG,mean,600,False,0.4640843179607774,0.49811521577186185,0.034030897811084385,0.7128350940568984,16.0,600.0,338.0,1.7751479289940828,0.2,0.14834278425005526,s4_scaffold25,0.10354930299143064,s4_scaffold25
PPARG,min,600,False,0.4640843179607774,0.4591763542744799,-0.0049079636862975565,0.7128350940568984,16.0,600.0,338.0,1.7751479289940828,0.2,0.10427371360529518,s4_scaffold25,0.07836877349855417,s4_scaffold25
