target_id,phi,policy,budget,n_folds,folds,mean_delta,worst_fold_delta,positive_folds,bootstrap_mean,se,ci95_low,ci95_high,mde
BACE1,mean,s2_uniform,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BACE1,mean,s3_top10,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BACE1,mean,s3_top25,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BACE1,mean,s3_top50,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BACE1,mean,s4_scaffold25,600,5,1|2|3|4|5,0.06528363767427722,0.01596519891702164,5,0.06093221616153018,0.02405673689208515,0.015934024492620154,0.10940518240901397,0.07096732085241175
BACE1,mean,s4_scaffold50,600,5,1|2|3|4|5,0.03836186413603008,-0.01150150970166719,4,0.0337840066772391,0.024217546622599857,-0.013576254476006352,0.08252394128279403,0.07144170920328496
BACE1,mean,s5_score_oracle,600,5,1|2|3|4|5,-0.014890018272294848,-0.07716316540817575,3,-0.010583725867663681,0.027825760062794386,-0.06301211173858698,0.04518132604701496,0.08208593090562719
BACE1,mean,s2_uniform,1200,5,1|2|3|4|5,-0.00631562610620331,-0.021756140621340347,2,-0.005085928724864141,0.013458888479966713,-0.03204658145999644,0.021488345439046017,0.03970369137590206
BACE1,mean,s3_top10,1200,5,1|2|3|4|5,-0.037069154458211497,-0.06783806549829469,0,-0.03471439644053133,0.021423309569842158,-0.07753919749098324,0.004507511595664373,0.06319871605129206
BACE1,mean,s3_top25,1200,5,1|2|3|4|5,0.003238224712665827,-0.03912422590138431,3,0.0011514780485855196,0.01569480107362229,-0.029446244756513685,0.032000958961540565,0.046299628603120487
BACE1,mean,s3_top50,1200,5,1|2|3|4|5,0.0011864956517577796,-0.01621122027138855,2,0.0014813574810133257,0.01700670784187075,-0.03165443118919761,0.03569223032242618,0.05016975068029092
BACE1,mean,s4_scaffold25,1200,5,1|2|3|4|5,0.05283416069835171,0.008151683728616632,5,0.04833459729577381,0.02571191055409053,-0.0015253069726157095,0.09917502764248051,0.07585007951020144
BACE1,mean,s4_scaffold50,1200,5,1|2|3|4|5,0.04004110086936167,-0.030829715164886196,4,0.035387112840960966,0.023540857688132848,-0.009980607304457965,0.0825775730081439,0.06944547833685366
BACE1,mean,s5_score_oracle,1200,5,1|2|3|4|5,-0.018530713145236632,-0.07500022812678137,2,-0.01459752627609417,0.025586554840859088,-0.06358036620110001,0.03576048700863129,0.07548028043223481
BACE1,mean,s2_uniform,2400,5,1|2|3|4|5,0.0010595253560582996,-0.022607248845000538,3,0.0008271316560704888,0.01743718276043699,-0.031939007104844486,0.03483747781574788,0.051439650742042736
BACE1,mean,s3_top10,2400,5,1|2|3|4|5,-0.07244973718012929,-0.10954730106003857,0,-0.06824994918094045,0.025900828335567165,-0.11847368590690821,-0.01977110870598455,0.07640738654951103
BACE1,mean,s3_top25,2400,5,1|2|3|4|5,-0.021824231201684675,-0.06285257489865975,1,-0.022354862673216992,0.022779182308874716,-0.06856424218377273,0.02193399166724454,0.06719853764545099
BACE1,mean,s3_top50,2400,5,1|2|3|4|5,-0.00753822108445491,-0.03676525086580129,2,-0.008527305714460667,0.018812441454388654,-0.04637740195299092,0.026363372470762033,0.055496660860520075
BACE1,mean,s4_scaffold25,2400,5,1|2|3|4|5,0.013875856627324679,-0.04129544767905846,3,0.011307063918109622,0.028522636884079054,-0.04402048113847183,0.06852180480498017,0.08414171599371156
BACE1,mean,s4_scaffold50,2400,5,1|2|3|4|5,0.021293930123690907,-0.062464773515321426,4,0.01909328118534939,0.027446449475410147,-0.03472653543555027,0.07380364633665716,0.080966965508185
BACE1,mean,s5_score_oracle,2400,5,1|2|3|4|5,-0.01458186224293806,-0.07235119139435614,2,-0.012506036424201962,0.02391377004531276,-0.059564965196971215,0.034501172095145846,0.07054556896928367
BACE1,mean,s2_uniform,3600,5,1|2|3|4|5,-0.00012603682614570344,-0.054733225225929494,3,-0.0017882306736678572,0.01887694637821773,-0.037460707648466776,0.03505293928951164,0.055686950243759095
BACE1,mean,s3_top10,3600,5,1|2|3|4|5,-0.07244973718012929,-0.10954730106003857,0,-0.06824994918094045,0.025900828335567165,-0.11847368590690821,-0.01977110870598455,0.07640738654951103
BACE1,mean,s3_top25,3600,5,1|2|3|4|5,-0.04476116616319505,-0.09105839227114376,1,-0.04391501116721887,0.024077777086047816,-0.09291482992806023,0.0025755542040361624,0.0710293893782656
BACE1,mean,s3_top50,3600,5,1|2|3|4|5,-0.025301580934195322,-0.07230815225728682,2,-0.024835154752155048,0.023076162332971342,-0.06970083365847303,0.02188723269239288,0.06807462806250819
BACE1,mean,s4_scaffold25,3600,5,1|2|3|4|5,0.013875856627324679,-0.04129544767905846,3,0.011307063918109622,0.028522636884079054,-0.04402048113847183,0.06852180480498017,0.08414171599371156
BACE1,mean,s4_scaffold50,3600,5,1|2|3|4|5,-0.013310791545527079,-0.0979233675793606,3,-0.013837451465427633,0.030464093299274055,-0.07441629453836213,0.04518755509363908,0.08986900814294096
BACE1,mean,s5_score_oracle,3600,5,1|2|3|4|5,-0.020436062592523264,-0.0698456040268578,3,-0.018679352245496987,0.023305824942353774,-0.06563155444510592,0.02798556149216693,0.0687521322544091
BACE1,mean,s2_uniform,4800,5,1|2|3|4|5,0.0006347518304080757,-0.06134751833917973,3,-0.0008188846326784152,0.021116917177397204,-0.040746153473832716,0.04114343114541525,0.06229485916833579
BACE1,mean,s3_top10,4800,5,1|2|3|4|5,-0.07244973718012929,-0.10954730106003857,0,-0.06824994918094045,0.025900828335567165,-0.11847368590690821,-0.01977110870598455,0.07640738654951103
BACE1,mean,s3_top25,4800,5,1|2|3|4|5,-0.04476116616319505,-0.09105839227114376,1,-0.04391501116721887,0.024077777086047816,-0.09291482992806023,0.0025755542040361624,0.0710293893782656
BACE1,mean,s3_top50,4800,5,1|2|3|4|5,-0.04913692051833539,-0.10769788929510804,1,-0.04746440190105766,0.02508524214557342,-0.09869482016573279,0.0017344415571150318,0.07400140908516403
BACE1,mean,s4_scaffold25,4800,5,1|2|3|4|5,0.013875856627324679,-0.04129544767905846,3,0.011307063918109622,0.028522636884079054,-0.04402048113847183,0.06852180480498017,0.08414171599371156
BACE1,mean,s4_scaffold50,4800,5,1|2|3|4|5,-0.013310791545527079,-0.0979233675793606,3,-0.013837451465427633,0.030464093299274055,-0.07441629453836213,0.04518755509363908,0.08986900814294096
BACE1,mean,s5_score_oracle,4800,5,1|2|3|4|5,-0.016294883495210466,-0.06695041265804436,2,-0.01565819077703441,0.02285619953217561,-0.062203585571837264,0.029581226229401476,0.06742573828457651
BACE1,min,s2_uniform,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BACE1,min,s3_top10,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BACE1,min,s3_top25,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BACE1,min,s3_top50,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BACE1,min,s4_scaffold25,600,5,1|2|3|4|5,0.05156273117773556,0.022964475464979706,5,0.05014387238509501,0.02472894373431689,0.002497057739604503,0.10053997498951621,0.07295032955661974
BACE1,min,s4_scaffold50,600,5,1|2|3|4|5,0.029333007077235396,0.009055633465446689,5,0.02811334225136033,0.02402808137155617,-0.017694354173917223,0.07427194507885178,0.07088278712995823
BACE1,min,s5_score_oracle,600,5,1|2|3|4|5,-0.014890018272294848,-0.07716316540817575,3,-0.010583725867663681,0.027825760062794386,-0.06301211173858698,0.04518132604701496,0.08208593090562719
BACE1,min,s2_uniform,1200,5,1|2|3|4|5,-0.017610237014423324,-0.054357112788007644,1,-0.015177621560581776,0.015935812822446487,-0.04581862872500113,0.01572603780112129,0.04701061273138083
BACE1,min,s3_top10,1200,5,1|2|3|4|5,-0.002450000299264976,-0.08506944444444436,3,-0.0009314726626887172,0.014372013541217447,-0.02957134509945934,0.02728652649892723,0.04239740829565103
BACE1,min,s3_top25,1200,5,1|2|3|4|5,-0.01687324625072808,-0.05757122349614613,2,-0.015538276411969556,0.016592763872186986,-0.04800293837632927,0.017509396873598208,0.048948616881336914
BACE1,min,s3_top50,1200,5,1|2|3|4|5,-0.02374764224301127,-0.06277454994200393,1,-0.02123407222044627,0.019644798580517885,-0.060013964456592496,0.017288644471534872,0.05795211254953277
BACE1,min,s4_scaffold25,1200,5,1|2|3|4|5,0.047073210360297345,-0.02980434615602351,4,0.045616856665019134,0.02572040724830096,-0.0025041281740381333,0.09842589019611639,0.07587514473941026
BACE1,min,s4_scaffold50,1200,5,1|2|3|4|5,0.0196016202618123,-0.019575534135387596,3,0.01761801651322257,0.02563203765328902,-0.031565208469852946,0.06851926317949962,0.07561445462873805
BACE1,min,s5_score_oracle,1200,5,1|2|3|4|5,-0.014890018272294848,-0.07716316540817575,3,-0.010583725867663681,0.027825760062794386,-0.06301211173858698,0.04518132604701496,0.08208593090562719
BACE1,min,s2_uniform,2400,5,1|2|3|4|5,-0.00967942635827651,-0.06847062895172196,2,-0.008042488117116513,0.02040575273476511,-0.04778674752192962,0.03235481171818834,0.0601969256287416
BACE1,min,s3_top10,2400,5,1|2|3|4|5,-0.005029365378630068,-0.08506944444444436,3,-0.0033244355514262516,0.014854621637207889,-0.03197520451770453,0.025327221565850478,0.04382110111599332
BACE1,min,s3_top25,2400,5,1|2|3|4|5,-0.022020189128522993,-0.10722375811721613,2,-0.020470616593806605,0.01901487542043345,-0.056379411259487325,0.017825601482341507,0.056093840614539564
BACE1,min,s3_top50,2400,5,1|2|3|4|5,-0.027733954915701187,-0.12240016349034921,1,-0.025477785853760773,0.02064526374594769,-0.0652432759246248,0.015850759533720917,0.06090348258426419
BACE1,min,s4_scaffold25,2400,5,1|2|3|4|5,0.043813191503293714,-0.02797284432452163,4,0.04252266118804457,0.026046655877716235,-0.007659454481520731,0.09605264237934572,0.07683757747770033
BACE1,min,s4_scaffold50,2400,5,1|2|3|4|5,0.008752830300726922,-0.06914220952497618,2,0.007491936584119779,0.028089881298905273,-0.047099171938350885,0.06288342050895959,0.08286508797049012
BACE1,min,s5_score_oracle,2400,5,1|2|3|4|5,-0.014890018272294848,-0.07716316540817575,3,-0.010583725867663681,0.027825760062794386,-0.06301211173858698,0.04518132604701496,0.08208593090562719
BACE1,min,s2_uniform,3600,5,1|2|3|4|5,-0.028529570527123717,-0.09243986017909867,1,-0.027271922656061928,0.02036341485173455,-0.06759389041559002,0.012127625144102394,0.06007202896704056
BACE1,min,s3_top10,3600,5,1|2|3|4|5,-0.005029365378630068,-0.08506944444444436,3,-0.0033244355514262516,0.014854621637207889,-0.03197520451770453,0.025327221565850478,0.04382110111599332
BACE1,min,s3_top25,3600,5,1|2|3|4|5,-0.023220900182175208,-0.10722375811721613,2,-0.021685561777591712,0.019228756553876902,-0.05789908242081039,0.017157940240151836,0.05672478948717545
BACE1,min,s3_top50,3600,5,1|2|3|4|5,-0.03216909166546141,-0.1317968645182072,1,-0.02983900086957624,0.022455130370050015,-0.07478449798724798,0.013612816201273373,0.06624258513956542
BACE1,min,s4_scaffold25,3600,5,1|2|3|4|5,0.043813191503293714,-0.02797284432452163,4,0.04252266118804457,0.026046655877716235,-0.007659454481520731,0.09605264237934572,0.07683757747770033
BACE1,min,s4_scaffold50,3600,5,1|2|3|4|5,0.0026553668965892396,-0.06338824127100795,2,0.0015283481804358615,0.028858778741146774,-0.054976787854421456,0.058373554059808166,0.08513333373178887
BACE1,min,s5_score_oracle,3600,5,1|2|3|4|5,-0.014890018272294848,-0.07716316540817575,3,-0.010583725867663681,0.027825760062794386,-0.06301211173858698,0.04518132604701496,0.08208593090562719
BACE1,min,s2_uniform,4800,5,1|2|3|4|5,-0.017003315477413194,-0.08183395114536512,2,-0.013115426290544316,0.02459603266980101,-0.059535744536012805,0.03689353989269181,0.07255824220900291
